x0001,y0001
-0.3745098039,-0.0005728563
-0.3735294118,-0.0007200807
-0.3725490196,-0.0008631177
-0.3715686275,-0.000993049
-0.3705882353,-0.0011025856
-0.3696078431,-0.001186855
-0.368627451,-0.0012438201
-0.3676470588,-0.0012743023
-0.3666666667,-0.0012816514
-0.3656862745,-0.0012711632
-0.3647058824,-0.0012493851
-0.3637254902,-0.0012234262
-0.3627450980,-0.001200364
-0.3617647059,-0.0011867725
-0.3607843137,-0.0011883534
-0.3598039216,-0.0012096107
-0.3588235294,-0.0012535211
-0.3578431373,-0.0013211765
-0.3568627451,-0.0014114389
-0.3558823529,-0.0015206892
-0.3549019608,-0.001642795
-0.3539215686,-0.0017694082
-0.3529411765,-0.001890652
-0.3519607843,-0.0019961826
-0.3509803922,-0.0020764938
-0.35,-0.0021242716
-0.3490196078,-0.0021355432
-0.3480392157,-0.0021103786
-0.3470588235,-0.0020529828
-0.3460784314,-0.0019711088
-0.3450980392,-0.0018748656
-0.3441176471,-0.001775117
-0.3431372549,-0.0016817459
-0.3421568627,-0.0016020917
-0.3411764706,-0.0015398355
-0.3401960784,-0.0014945291
-0.3392156863,-0.0014618412
-0.3382352941,-0.001434466
-0.337254902,-0.0014035322
-0.3362745098,-0.0013602478
-0.3352941176,-0.0012975094
-0.3343137255,-0.0012111777
-0.3333333333,-0.0011008155
-0.3323529412,-0.0009697535
-0.3313725490,-0.0008244842
-0.3303921569,-0.0006734994
-0.3294117647,-0.0005257888
-0.3284313725,-0.0003892886
-0.3274509804,-0.0002695809
-0.3264705882,-0.0001690954
-0.3254901961,-0.0000869740
-0.3245098039,-0.0000196196
-0.3235294118,0.0000381972
-0.3225490196,0.0000919146
-0.3215686275,0.0001457649
-0.3205882353,0.0002016917
-0.3196078431,0.0002588563
-0.318627451,0.0003138629
-0.3176470588,0.0003616688
-0.3166666667,0.0003969877
-0.3156862745,0.0004158700
-0.3147058824,0.0004170933
-0.3137254902,0.0004030188
-0.3127450980,0.0003796766
-0.3117647059,0.0003559988
-0.3107843137,0.0003423044
-0.3098039216,0.0003483095
-0.3088235294,0.0003810481
-0.3078431373,0.0004431363
-0.3068627451,0.0005317601
-0.3058823529,0.0006386415
-0.3049019608,0.000751055
-0.3039215686,0.0008537606
-0.3029411765,0.0009315318
-0.3019607843,0.0009718281
-0.3009803922,0.0009671189
-0.3,0.0009164047
-0.2990196078,0.0008256317
-0.2980392157,0.0007068847
-0.2970588235,0.0005764710
-0.2960784314,0.0004522277
-0.2950980392,0.0003505173
-0.2941176471,0.0002834606
-0.2931372549,0.0002569027
-0.2921568627,0.0002694850
-0.2911764706,0.0003129894
-0.2901960784,0.0003738854
-0.2892156863,0.0004357925
-0.2882352941,0.0004824011
-0.287254902,0.0005003181
-0.2862745098,0.0004813287
-0.2852941176,0.000423682
-0.2843137255,0.0003321979
-0.2833333333,0.0002172124
-0.2823529412,0.0000925923
-0.2813725490,-0.0000267959
-0.2803921569,-0.0001276889
-0.2794117647,-0.0002006372
-0.2784313725,-0.0002414476
-0.2774509804,-0.0002516342
-0.2764705882,-0.0002378368
-0.2754901961,-0.0002103536
-0.2745098039,-0.0001810829
-0.2735294118,-0.0001612614
-0.2725490196,-0.0001594133
-0.2715686275,-0.0001798695
-0.2705882353,-0.0002221059
-0.2696078431,-0.0002809972
-0.268627451,-0.0003479132
-0.2676470588,-0.0004124423
-0.2666666667,-0.0004644105
-0.2656862745,-0.000495831
-0.2647058824,-0.0005024308
-0.2637254902,-0.0004844901
-0.2627450980,-0.0004468541
-0.2617647059,-0.0003981255
-0.2607843137,-0.000349187
-0.2598039216,-0.0003113152
-0.2588235294,-0.000294212
-0.2578431373,-0.0003042899
-0.2568627451,-0.0003434942
-0.2558823529,-0.0004088564
-0.2549019608,-0.0004928447
-0.2539215686,-0.0005844488
-0.2529411765,-0.000670814
-0.2519607843,-0.0007391584
-0.2509803922,-0.0007786645
-0.25,-0.0007820523
-0.2490196078,-0.0007466028
-0.2480392157,-0.0006744926
-0.2470588235,-0.0005724211
-0.2460784314,-0.0004506203
-0.2450980392,-0.000321429
-0.2441176471,-0.0001976637
-0.2431372549,-0.0000910355
-0.2421568627,-0.0000108237
-0.2411764706,0.0000370341
-0.2401960784,0.0000503648
-0.2392156863,0.0000306936
-0.2382352941,-0.0000172400
-0.237254902,-0.0000862742
-0.2362745098,-0.0001677914
-0.2352941176,-0.0002527342
-0.2343137255,-0.0003325562
-0.2333333333,-0.0004000273
-0.2323529412,-0.0004498277
-0.2313725490,-0.0004789019
-0.2303921569,-0.0004865505
-0.2294117647,-0.0004742634
-0.2284313725,-0.0004453229
-0.2274509804,-0.0004042160
-0.2264705882,-0.0003559343
-0.2254901961,-0.0003052501
-0.2245098039,-0.0002560765
-0.2235294118,-0.00021101
-0.2225490196,-0.0001711311
-0.2215686275,-0.0001360958
-0.2205882353,-0.000104495
-0.2196078431,-0.0000744073
-0.218627451,-0.0000440237
-0.2176470588,-0.0000122116
-0.2166666667,0.0000211096
-0.2156862745,0.000054867
-0.2147058824,0.0000870291
-0.2137254902,0.0001150617
-0.2127450980,0.0001365444
-0.2117647059,0.0001498136
-0.2107843137,0.0001544933
-0.2098039216,0.000151793
-0.2088235294,0.0001445023
-0.2078431373,0.0001366719
-0.2068627451,0.0001330291
-0.2058823529,0.000138232
-0.2049019608,0.0001560913
-0.2039215686,0.0001888992
-0.2029411765,0.0002369818
-0.2019607843,0.0002985547
-0.2009803922,0.000369908
